   BENCHMARK INFORMATION
benchmark:          draft
date:               Wed, 2016-04-27 12:17:28 ART
tool:               CPAchecker 1.5-svn 1106192+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6: skipped 


generate-predicate.original
Run set 2 of 6: skipped 


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
systemc/kundu2_BUG.c              false(reach)                  5.15        5.17        None    2.988s    0.013s      None
systemc/mem_slave_tlm.1.c         true                          4.55        4.62        None    3.470s    0.020s      None
systemc/mem_slave_tlm.2.c         true                          4.77        4.80        None    3.565s    0.025s      None
systemc/mem_slave_tlm.3.c         true                          4.99        5.00        None    3.683s    0.028s      None
systemc/mem_slave_tlm.4.c         true                          5.16        5.17        None    3.797s    0.030s      None
systemc/mem_slave_tlm.5.c         true                          5.26        5.27        None    3.884s    0.039s      None
systemc/pc_sfifo_1.c              unknown                     922.44      922.42        None  900.178s    0.032s      None
systemc/pc_sfifo_1_BUG.c          unknown                     923.63      923.59        None  900.186s    0.011s      None
systemc/pc_sfifo_2.c              unknown                     950.61      950.57        None  900.189s    0.054s      None
systemc/pc_sfifo_2_BUG.c          unknown                     949.86      949.80        None  900.182s    0.032s      None
systemc/pc_sfifo_3.c              true                          3.95        3.97        None    2.769s    0.006s      None
systemc/pipeline.c                unknown                      65.53       65.56        None   44.746s    0.263s      None
systemc/pipeline_BUG.c            false(reach)                 10.41       10.52        None    5.643s    0.026s      None
systemc/token_ring.01.BUG.c       false(reach)                  4.53        4.54        None    2.710s    0.007s      None
systemc/token_ring.01.c           unknown                       3.70        3.72        None    2.659s    0.003s      None
systemc/token_ring.02.BUG.c       false(reach)                  5.27        5.29        None    3.247s    0.033s      None
systemc/token_ring.02.c           unknown                       4.70        4.71        None    3.405s    0.035s      None
systemc/token_ring.03.BUG.c       false(reach)                  6.09        6.12        None    3.728s    0.011s      None
systemc/token_ring.03.c           unknown                       5.58        5.61        None    4.169s    0.066s      None
systemc/token_ring.04.BUG.c       false(reach)                  7.04        7.06        None    4.284s    0.011s      None
systemc/token_ring.04.c           unknown                       7.43        7.44        None    5.236s    0.071s      None
systemc/token_ring.05.BUG.c       false(reach)                  8.47        8.49        None    4.951s    0.057s      None
systemc/token_ring.05.c           unknown                       9.61        9.62        None    6.473s    0.067s      None
systemc/token_ring.06.BUG.c       false(reach)                  9.90        9.92        None    5.569s    0.082s      None
systemc/token_ring.06.c           unknown                      12.48       12.52        None    7.954s    0.108s      None
systemc/token_ring.07.BUG.c       false(reach)                 12.17       12.19        None    6.679s    0.047s      None
systemc/token_ring.07.c           unknown                      20.89       21.25        None   12.327s    0.181s      None
systemc/token_ring.08.BUG.c       false(reach)                 16.24       16.26        None    9.293s    0.106s      None
systemc/token_ring.08.c           unknown                      47.14       49.44        None   29.458s    0.169s      None
systemc/token_ring.09.BUG.c       false(reach)                 28.64       29.13        None   18.105s    0.112s      None
systemc/token_ring.14.BUG.c       unknown                     970.33      976.17        None  900.146s    0.523s      None
systemc/toy.c                     unknown                    1028.84     1036.40        None  919.306s    1.332s      None
systemc/toy1_BUG.c                false(reach)                  5.66        5.70        None    3.146s    0.002s      None
systemc/toy2_BUG.c                false(reach)                  5.50        5.51        None    3.242s    0.023s      None
systemc/transmitter.01.BUG.c      false(reach)                  4.19        4.20        None    2.646s    0.003s      None
systemc/transmitter.02.BUG.c      false(reach)                  4.79        4.81        None    2.899s    0.021s      None
systemc/transmitter.03.BUG.c      false(reach)                  5.80        5.81        None    3.571s    0.030s      None
systemc/transmitter.04.BUG.c      false(reach)                  6.55        6.56        None    4.070s    0.024s      None
systemc/transmitter.05.BUG.c      false(reach)                  7.50        7.52        None    4.467s    0.077s      None
systemc/transmitter.06.BUG.c      false(reach)                  9.34        9.35        None    5.325s    0.080s      None
systemc/transmitter.07.BUG.c      false(reach)                 11.22       11.23        None    6.332s    0.091s      None
systemc/transmitter.08.BUG.c      false(reach)                 15.92       15.94        None    8.945s    0.101s      None
systemc/transmitter.09.BUG.c      false(reach)                 27.74       28.21        None   17.461s    0.129s      None
systemc/transmitter.10.BUG.c      false(reach)                 77.86       80.27        None   58.527s    0.198s      None
systemc/transmitter.11.BUG.c      false(reach)                279.74      283.48        None  243.155s    0.319s      None
systemc/transmitter.12.BUG.c      unknown                     969.80      974.23        None  900.154s    0.510s      None
systemc/transmitter.15.BUG.c      unknown                     973.95      976.29        None  900.163s    0.646s      None
systemc/transmitter.16.BUG.c      unknown                     976.62      981.40        None  900.152s    0.504s      None
drivers64/drbd.BUG.c              unknown                     910.66      910.81        None  900.203s    0.026s      None
drivers64/farsync.BUG.c           unknown                     922.88      926.21        None  900.136s    0.236s      None
drivers64/gigaset.BUG.c           unknown                     932.23      936.06        None  900.288s    0.512s      None
drivers64/i915.c                  true                        103.73      106.14        None   81.174s    0.316s      None
drivers64/iowarrior.BUG.c         false(reach)                 10.04       10.06        None    7.456s    0.089s      None
drivers64/kbtab.c                 unknown                     911.34      911.30        None  900.182s    0.036s      None
drivers64/keyspan_remote.BUG.c    unknown                     923.00      922.97        None  900.206s    0.038s      None
drivers64/lirc_imon.BUG.c         unknown                     923.85      926.69        None  900.177s    0.351s      None
drivers64/loop.BUG.c              unknown                     937.40      940.35        None  900.224s    0.630s      None
drivers64/mISDN_core.BUG.c        false(reach)                 30.74       30.76        None   26.481s    0.033s      None
drivers64/pktcdvd.BUG.c           unknown                     927.28      927.36        None  900.183s    0.099s      None
drivers64/ppp_generic.BUG.c       unknown                     924.62      926.67        None  900.216s    0.297s      None
drivers64/pppox.c                 unknown                     910.67      910.63        None  900.219s    0.029s      None
drivers64/synclink_gt.BUG.c       unknown                     925.29      926.82        None  900.217s    0.435s      None
drivers64/ttusb_dec.BUG.c         unknown                    1038.80     1043.22        None  900.434s    2.094s      None
drivers64/usbcore.BUG.c           false(reach)                 77.50       77.69        None   73.569s    0.013s      None
drivers64/usbmouse.BUG.c          unknown                     914.29      914.25        None  900.187s    0.036s      None
--------------------------------------------------------------------------------------------------------------------------
Run set 1                         done                      21793.12    21863.53           -


generate-predicate.original
Run set 2 of 6 with options '-heap 12000M -setprop assumptions.automatonFile=${sourcefile_path}/${sourcefile_name}.predicate.assumption_automaton -setprop limits.time.cpu=900s -config ${sourcefile_path}/../../../test-configs/generate/predicateAnalysis-generate-cmc-condition.properties -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
--------------------------------------------------------------------------------------------------------------------------
systemc/bist_cell.c               true                          7.34        7.44        None    5.549s    0.063s      None
systemc/kundu.c                   true                         80.14       80.16        None   77.059s    0.155s      None
systemc/kundu1_BUG.c              false(reach)                 15.92       15.94        None   13.505s    0.113s      None
systemc/kundu2_BUG.c              false(reach)                 15.29       15.30        None   13.389s    0.090s      None
systemc/mem_slave_tlm.1.c         true                         22.12       22.14        None   20.414s    0.309s      None
systemc/mem_slave_tlm.2.c         unknown                     903.14      903.10        None  900.316s    0.282s      None
systemc/mem_slave_tlm.3.c         unknown                     903.21      903.27        None  900.293s    0.345s      None
systemc/mem_slave_tlm.4.c         unknown                     903.74      903.87        None  900.365s    0.358s      None
systemc/mem_slave_tlm.5.c         unknown                     901.93      902.19        None  900.232s    0.340s      None
systemc/pc_sfifo_1.c              true                         10.70       10.71        None    9.441s    0.181s      None
systemc/pc_sfifo_1_BUG.c          false(reach)                  3.40        3.41        None    2.182s    0.002s      None
systemc/pc_sfifo_2.c              true                         13.50       13.52        None   12.410s    0.168s      None
systemc/pc_sfifo_2_BUG.c          false(reach)                  3.72        3.74        None    2.519s    0.006s      None
systemc/pc_sfifo_3.c              true                          5.87        5.89        None    4.705s    0.096s      None
systemc/pipeline.c                unknown                     902.28      902.27        None  900.371s    0.214s      None
systemc/pipeline_BUG.c            false(reach)                108.75      108.79        None  102.660s    0.242s      None
systemc/token_ring.01.BUG.c       false(reach)                  6.88        6.90        None    5.157s    0.039s      None
systemc/token_ring.01.c           true                          8.99        9.01        None    7.977s    0.063s      None
systemc/token_ring.02.BUG.c       false(reach)                  9.83        9.86        None    8.124s    0.046s      None
systemc/token_ring.02.c           true                         24.50       24.53        None   23.387s    0.074s      None
systemc/token_ring.03.BUG.c       false(reach)                 13.31       13.33        None   11.291s    0.030s      None
systemc/token_ring.03.c           true                         39.66       39.68        None   38.431s    0.088s      None
systemc/token_ring.04.BUG.c       false(reach)                 13.19       13.20        None   11.014s    0.050s      None
systemc/token_ring.04.c           true                        115.91      115.93        None  114.637s    0.116s      None
systemc/token_ring.05.BUG.c       false(reach)                 17.58       17.61        None   14.758s    0.068s      None
systemc/token_ring.05.c           true                        231.81      231.83        None  230.388s    0.132s      None
systemc/token_ring.06.BUG.c       false(reach)                 25.32       25.33        None   22.926s    0.068s      None
systemc/token_ring.06.c           unknown                     901.65      901.60        None  900.202s    0.120s      None
systemc/token_ring.07.BUG.c       false(reach)                 32.56       32.57        None   29.635s    0.084s      None
systemc/token_ring.07.c           unknown                     901.31      901.30        None  900.201s    0.112s      None
systemc/token_ring.08.BUG.c       false(reach)                 63.74       63.76        None   60.612s    0.120s      None
systemc/token_ring.08.c           unknown                     901.79      901.73        None  900.265s    0.139s      None
systemc/token_ring.09.BUG.c       false(reach)                149.75      149.76        None  146.199s    0.085s      None
systemc/token_ring.14.BUG.c       unknown                     902.01      901.92        None  900.176s    0.109s      None
systemc/toy.c                     true                         69.76       69.78        None   67.479s    0.116s      None
systemc/toy1_BUG.c                false(reach)                 25.49       25.50        None   23.450s    0.072s      None
systemc/toy2_BUG.c                false(reach)                 21.38       21.40        None   19.322s    0.086s      None
systemc/transmitter.01.BUG.c      false(reach)                  4.75        4.77        None    3.339s    0.011s      None
systemc/transmitter.02.BUG.c      false(reach)                  6.67        6.69        None    4.941s    0.017s      None
systemc/transmitter.03.BUG.c      false(reach)                  8.67        8.69        None    6.673s    0.025s      None
systemc/transmitter.04.BUG.c      false(reach)                  9.90        9.92        None    7.821s    0.048s      None
systemc/transmitter.05.BUG.c      false(reach)                 11.58       11.60        None    9.196s    0.062s      None
systemc/transmitter.06.BUG.c      false(reach)                 13.77       13.79        None   11.415s    0.069s      None
systemc/transmitter.07.BUG.c      false(reach)                 16.25       16.26        None   13.144s    0.064s      None
systemc/transmitter.08.BUG.c      false(reach)                 19.42       19.44        None   16.477s    0.169s      None
systemc/transmitter.09.BUG.c      false(reach)                 23.40       23.42        None   20.040s    0.136s      None
systemc/transmitter.10.BUG.c      false(reach)                 27.19       27.21        None   23.379s    0.092s      None
systemc/transmitter.11.BUG.c      false(reach)                 36.03       36.05        None   31.475s    0.106s      None
systemc/transmitter.12.BUG.c      false(reach)                 39.59       39.62        None   34.254s    0.108s      None
systemc/transmitter.15.BUG.c      false(reach)                  9.25        9.26        None    7.133s    0.009s      None
systemc/transmitter.16.BUG.c      false(reach)                  9.56        9.58        None    7.382s    0.013s      None
drivers64/drbd.BUG.c              false(reach)                 26.43       26.46        None   22.435s    0.002s      None
drivers64/farsync.BUG.c           false(reach)                 68.55       68.59        None   63.312s    0.422s      None
drivers64/gigaset.BUG.c           false(reach)                 71.67       71.70        None   59.206s    0.245s      None
drivers64/i915.c                  true                         51.39       51.58        None   46.189s    0.289s      None
drivers64/iowarrior.BUG.c         false(reach)                 12.42       12.44        None   10.163s    0.005s      None
drivers64/kbtab.c                 true                         12.51       12.53        None   11.416s    0.052s      None
drivers64/keyspan_remote.BUG.c    false(reach)                 79.15       79.16        None   75.365s    0.291s      None
drivers64/lirc_imon.BUG.c         false(reach)                 16.48       16.49        None   14.037s    0.039s      None
drivers64/loop.BUG.c              false(reach)                 61.81       61.85        None   57.545s    0.282s      None
drivers64/mISDN_core.BUG.c        false(reach)                 25.30       25.31        None   22.203s    0.017s      None
drivers64/pktcdvd.BUG.c           unknown                     901.58      901.67        None  900.545s   10.994s      None
drivers64/ppp_generic.BUG.c       false(reach)                 22.76       22.77        None   19.021s    0.028s      None
drivers64/pppox.c                 true                          4.58        4.61        None    3.492s    0.004s      None
drivers64/synclink_gt.BUG.c       false(reach)                 12.67       12.68        None   10.515s    0.001s      None
drivers64/ttusb_dec.BUG.c         false(reach)                 15.38       15.41        None   12.973s    0.055s      None
drivers64/usbcore.BUG.c           EXCEPTION                    17.19       17.21        None      None      None      None
drivers64/usbmouse.BUG.c          false(reach)                 15.65       15.66        None   13.178s    0.061s      None
--------------------------------------------------------------------------------------------------------------------------
Run set 2                         done                      10929.33    10938.93           -


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6: skipped 


produce-witnesses-unexplored-predicate-from-predicate.original
Run set 4 of 6: skipped 


produce-witnesses-unexplored-explicit-from-explicit.original
Run set 5 of 6: skipped 


produce-witnesses-unexplored-explicit-from-predicate.original
Run set 6 of 6: skipped 
   BENCHMARK INFORMATION
benchmark:          draft
date:               Thu, 2016-04-28 11:53:33 ART
tool:               CPAchecker 1.5-svn 3eb8267+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6: skipped 


generate-predicate.original
Run set 2 of 6: skipped 


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6: skipped 


produce-witnesses-unexplored-predicate-from-predicate.original
Run set 4 of 6: skipped 


produce-witnesses-unexplored-explicit-from-explicit.original
Run set 5 of 6: skipped 


produce-witnesses-unexplored-explicit-from-predicate.original
Run set 6 of 6 with options '-heap 12000M -config test-configs/extend/explicitAnalysis.properties -setprop limits.time.cpu=60s -setprop specification=${sourcefile_path}/${sourcefile_name}.predicate.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
--------------------------------------------------------------------------------------------------------------------------
systemc/bist_cell.c               ERROR                         2.52        2.62        None    1.477s      None      None
systemc/kundu.c                   ERROR                         2.54        2.54        None    1.494s      None      None
systemc/kundu1_BUG.c              false(reach)                 15.25       15.28        None    9.903s    0.030s      None
systemc/kundu2_BUG.c              false(reach)                 15.57       15.59        None    9.575s    0.053s      None
systemc/mem_slave_tlm.1.c         ERROR                         3.34        3.36        None    1.925s      None      None
systemc/mem_slave_tlm.2.c         true                         10.72       10.74        None    9.401s    0.028s      None
systemc/mem_slave_tlm.3.c         true                         10.48       10.50        None    9.165s    0.091s      None
systemc/mem_slave_tlm.4.c         false(reach)                 26.92       26.96        None   17.594s    0.048s      None
systemc/mem_slave_tlm.5.c         false(reach)                 13.17       13.19        None    9.536s    0.019s      None
systemc/pc_sfifo_1.c              ERROR                         2.57        2.59        None    1.466s      None      None
systemc/pc_sfifo_1_BUG.c          false(reach)                  4.91        4.94        None    3.234s    0.001s      None
systemc/pc_sfifo_2.c              ERROR                         2.54        2.55        None    1.444s      None      None
systemc/pc_sfifo_2_BUG.c          false(reach)                  5.64        5.66        None    3.678s    0.001s      None
systemc/pc_sfifo_3.c              ERROR                         2.50        2.51        None    1.504s      None      None
systemc/pipeline.c                false(reach)                121.26      121.40        None   46.313s    0.064s      None
systemc/pipeline_BUG.c            unknown                      75.58       75.75        None   60.501s    0.059s      None
systemc/token_ring.01.BUG.c       false(reach)                  9.69        9.74        None    6.490s    0.019s      None
systemc/token_ring.01.c           ERROR                         2.48        2.50        None    1.395s      None      None
systemc/token_ring.02.BUG.c       false(reach)                 15.81       15.83        None    9.855s    0.009s      None
systemc/token_ring.02.c           ERROR                         2.53        2.55        None    1.455s      None      None
systemc/token_ring.03.BUG.c       false(reach)                 23.14       23.20        None   13.208s    0.017s      None
systemc/token_ring.03.c           ERROR                         2.77        2.78        None    1.620s      None      None
systemc/token_ring.04.BUG.c       false(reach)                 37.42       37.49        None   19.892s    0.028s      None
systemc/token_ring.04.c           ERROR                         2.73        2.75        None    1.570s      None      None
systemc/token_ring.05.BUG.c       false(reach)                 67.68       68.17        None   35.916s    0.031s      None
systemc/token_ring.05.c           ERROR                         2.87        2.89        None    1.634s      None      None
systemc/token_ring.06.BUG.c       unknown                     122.27      123.30        None   60.959s    0.045s      None
systemc/token_ring.06.c           false(reach)                 68.59       68.98        None   35.972s    0.095s      None
systemc/token_ring.07.BUG.c       unknown                     131.21      131.67        None   60.427s    0.047s      None
systemc/token_ring.07.c           false(reach)                 46.22       46.49        None   21.630s    0.008s      None
systemc/token_ring.08.BUG.c       unknown                     136.15      137.67        None   60.954s    0.058s      None
systemc/token_ring.08.c           unknown                     131.09      132.76        None   61.715s    0.086s      None
systemc/token_ring.09.BUG.c       unknown                     140.57      141.27        None   60.488s    0.051s      None
systemc/token_ring.14.BUG.c       unknown                     151.91      152.29        None   60.444s    0.072s      None
systemc/toy.c                     ERROR                         2.78        2.79        None    1.551s      None      None
systemc/toy1_BUG.c                false(reach)                 12.00       12.02        None    8.121s    0.063s      None
systemc/toy2_BUG.c                false(reach)                 12.06       12.30        None    8.379s    0.044s      None
systemc/transmitter.01.BUG.c      false(reach)                  7.53        7.55        None    4.948s    0.004s      None
systemc/transmitter.02.BUG.c      false(reach)                 10.48       10.50        None    6.786s    0.007s      None
systemc/transmitter.03.BUG.c      false(reach)                 15.59       15.63        None    9.004s    0.032s      None
systemc/transmitter.04.BUG.c      false(reach)                 21.19       21.23        None   11.911s    0.015s      None
systemc/transmitter.05.BUG.c      false(reach)                 30.81       30.88        None   16.440s    0.023s      None
systemc/transmitter.06.BUG.c      false(reach)                 50.12       50.22        None   25.548s    0.040s      None
systemc/transmitter.07.BUG.c      false(reach)                 93.47       94.00        None   46.028s    0.086s      None
systemc/transmitter.08.BUG.c      unknown                     132.74      133.22        None   60.485s    0.103s      None
systemc/transmitter.09.BUG.c      unknown                     125.81      126.52        None   60.462s    0.110s      None
systemc/transmitter.10.BUG.c      unknown                     131.06      131.99        None   60.429s    0.082s      None
systemc/transmitter.11.BUG.c      unknown                     136.08      137.65        None   61.480s    0.086s      None
systemc/transmitter.12.BUG.c      unknown                     141.04      141.91        None   60.416s    0.108s      None
systemc/transmitter.15.BUG.c      false(reach)                 21.23       21.84        None   12.139s    0.015s      None
systemc/transmitter.16.BUG.c      false(reach)                 21.92       21.99        None   11.986s    0.010s      None
drivers64/drbd.BUG.c              unknown                      63.52       63.55        None   60.058s    0.046s      None
drivers64/farsync.BUG.c           unknown                      69.92       69.96        None   60.410s    0.033s      None
drivers64/gigaset.BUG.c           unknown                      68.35       68.37        None   60.382s    0.100s      None
drivers64/i915.c                  ERROR                        25.01       25.06        None   19.189s      None      None
drivers64/iowarrior.BUG.c         unknown                      67.03       68.47        None   61.631s    0.022s      None
drivers64/kbtab.c                 ERROR                         3.87        3.89        None    2.630s      None      None
drivers64/keyspan_remote.BUG.c    unknown                      63.51       63.54        None   60.394s    0.071s      None
drivers64/lirc_imon.BUG.c         unknown                      67.37       67.40        None   60.406s    0.090s      None
drivers64/loop.BUG.c              unknown                      66.20       66.28        None   60.483s    0.049s      None
drivers64/mISDN_core.BUG.c        unknown                      65.68       65.73        None   60.454s    0.050s      None
drivers64/pktcdvd.BUG.c           unknown                      66.81       66.85        None   60.456s    0.005s      None
drivers64/ppp_generic.BUG.c       unknown                      65.71       65.74        None   60.396s    0.011s      None
drivers64/pppox.c                 ERROR                         3.98        4.00        None    2.722s      None      None
drivers64/synclink_gt.BUG.c       false(reach)                 41.29       41.33        None   33.510s    0.004s      None
drivers64/ttusb_dec.BUG.c         unknown                      68.50       68.58        None   60.400s    0.049s      None
drivers64/usbcore.BUG.c           ERROR                        15.81       15.82        None   11.553s      None      None
drivers64/usbmouse.BUG.c          unknown                      63.23       63.28        None   60.413s    0.020s      None
--------------------------------------------------------------------------------------------------------------------------
Run set 6                         done                       3263.19     3288.84           -
   BENCHMARK INFORMATION
benchmark:          draft2
date:               Thu, 2016-04-28 12:48:27 ART
tool:               CPAchecker 1.5-svn 3eb8267+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



produce-witnesses-explored-predicate-from-explicit.original
Run set 1 of 12 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=60s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-explored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
--------------------------------------------------------------------------------------------------------------------------
systemc/bist_cell.c               ERROR                         2.45        2.46        None    1.425s      None      None
systemc/kundu.c                   ERROR                         2.48        2.49        None    1.445s      None      None
systemc/kundu1_BUG.c              false(reach)                 20.56       20.58        None   12.545s    0.018s      None
systemc/kundu2_BUG.c              false(reach)                 17.95       17.99        None   11.728s    0.047s      None
systemc/mem_slave_tlm.1.c         ERROR                         3.20        3.21        None    1.877s      None      None
systemc/mem_slave_tlm.2.c         ERROR                         3.12        3.13        None    1.843s      None      None
systemc/mem_slave_tlm.3.c         ERROR                         3.14        3.15        None    1.880s      None      None
systemc/mem_slave_tlm.4.c         ERROR                         3.11        3.11        None    1.831s      None      None
systemc/mem_slave_tlm.5.c         ERROR                         3.13        3.13        None    1.854s      None      None
systemc/pc_sfifo_1.c              unknown                     106.56      106.64        None   60.249s    0.076s      None
systemc/pc_sfifo_1_BUG.c          unknown                      99.90       99.95        None   75.323s    0.085s      None
systemc/pc_sfifo_2.c              unknown                      96.21       96.31        None   65.427s    0.136s      None
systemc/pc_sfifo_2_BUG.c          unknown                     104.35      104.42        None   60.444s    0.110s      None
systemc/pc_sfifo_3.c              ERROR                         2.46        2.47        None    1.407s      None      None
systemc/pipeline.c                unknown                      68.08       68.11        None   61.248s    0.010s      None
systemc/pipeline_BUG.c            false(reach)                 49.10       49.13        None   26.167s    0.102s      None
systemc/token_ring.01.BUG.c       false(reach)                 15.46       15.49        None   10.332s    0.014s      None
systemc/token_ring.01.c           false(reach)                 24.07       24.13        None   17.636s    0.012s      None
systemc/token_ring.02.BUG.c       false(reach)                 25.74       25.77        None   17.666s    0.024s      None
systemc/token_ring.02.c           false(reach)                 46.19       46.32        None   38.067s    0.025s      None
systemc/token_ring.03.BUG.c       false(reach)                 33.86       33.89        None   23.329s    0.019s      None
systemc/token_ring.03.c           unknown                      80.47       81.00        None   61.336s    0.038s      None
systemc/token_ring.04.BUG.c       false(reach)                 46.39       47.10        None   30.110s    0.054s      None
systemc/token_ring.04.c           unknown                      75.56       76.30        None   64.904s    0.024s      None
systemc/token_ring.05.BUG.c       false(reach)                 64.14       66.24        None   39.692s    0.041s      None
systemc/token_ring.05.c           unknown                      94.78       95.80        None   68.273s    0.046s      None
systemc/token_ring.06.BUG.c       false(reach)                102.96      104.79        None   58.683s    0.056s      None
systemc/token_ring.06.c           unknown                     102.39      102.79        None   76.180s    0.058s      None
systemc/token_ring.07.BUG.c       unknown                     113.61      113.68        None   60.925s    0.050s      None
systemc/token_ring.07.c           unknown                      91.64       91.80        None   62.677s    0.034s      None
systemc/token_ring.08.BUG.c       unknown                     116.19      118.48        None   62.237s    0.066s      None
systemc/token_ring.08.c           unknown                      77.62       77.70        None   60.250s    0.034s      None
systemc/token_ring.09.BUG.c       unknown                     118.98      120.20        None   61.760s    0.056s      None
systemc/token_ring.14.BUG.c       false(reach)                 26.56       26.59        None   19.374s    0.100s      None
systemc/toy.c                     ERROR (1)                    70.59       70.64        None      None      None      None
systemc/toy1_BUG.c                false(reach)                 12.55       12.58        None    8.339s    0.038s      None
systemc/toy2_BUG.c                false(reach)                 12.44       12.47        None    8.425s    0.038s      None
systemc/transmitter.01.BUG.c      false(reach)                  8.61        8.62        None    6.043s    0.010s      None
systemc/transmitter.02.BUG.c      false(reach)                 12.30       12.32        None    8.214s    0.033s      None
systemc/transmitter.03.BUG.c      false(reach)                 18.73       18.76        None   12.315s    0.041s      None
systemc/transmitter.04.BUG.c      false(reach)                 28.10       28.13        None   18.495s    0.051s      None
systemc/transmitter.05.BUG.c      false(reach)                 32.59       32.61        None   21.290s    0.025s      None
systemc/transmitter.06.BUG.c      false(reach)                 40.16       40.19        None   26.037s    0.034s      None
systemc/transmitter.07.BUG.c      false(reach)                 49.64       49.69        None   28.718s    0.064s      None
systemc/transmitter.08.BUG.c      false(reach)                 60.97       61.02        None   34.578s    0.064s      None
systemc/transmitter.09.BUG.c      false(reach)                 89.04       89.73        None   49.621s    0.095s      None
systemc/transmitter.10.BUG.c      false(reach)                120.78      120.85        None   58.119s    0.074s      None
systemc/transmitter.11.BUG.c      unknown                     121.68      121.77        None   60.186s    0.034s      None
systemc/transmitter.12.BUG.c      false(reach)                 27.21       27.23        None   19.106s    0.090s      None
systemc/transmitter.15.BUG.c      false(reach)                 28.02       28.06        None   20.603s    0.062s      None
systemc/transmitter.16.BUG.c      false(reach)                 29.36       29.38        None   20.907s    0.051s      None
drivers64/drbd.BUG.c              false(reach)                 47.27       47.44        None   41.548s    0.012s      None
drivers64/farsync.BUG.c           unknown                      69.01       69.06        None   60.407s    0.007s      None
drivers64/gigaset.BUG.c           ERROR (1)                    70.74       70.77        None      None      None      None
drivers64/i915.c                  ERROR                        22.28       22.30        None   17.617s      None      None
drivers64/iowarrior.BUG.c         false(reach)                 26.48       26.50        None   20.467s    0.046s      None
drivers64/kbtab.c                 false(reach)                 28.87       28.89        None   23.786s    0.027s      None
drivers64/keyspan_remote.BUG.c    false(reach)                 33.14       33.17        None   26.624s    0.077s      None
drivers64/lirc_imon.BUG.c         false(reach)                 67.55       67.57        None   59.462s    0.535s      None
drivers64/loop.BUG.c              ERROR (1)                    70.56       70.59        None      None      None      None
drivers64/mISDN_core.BUG.c        unknown                      69.17       69.20        None   59.997s    0.081s      None
drivers64/pktcdvd.BUG.c           unknown                      66.96       67.02        None   60.442s    0.036s      None
drivers64/ppp_generic.BUG.c       unknown                      66.24       66.28        None   60.211s    0.006s      None
drivers64/pppox.c                 false(reach)                 13.57       13.58        None   11.846s    0.013s      None
drivers64/synclink_gt.BUG.c       ERROR                        64.19       64.22        None   60.793s      None      None
drivers64/ttusb_dec.BUG.c         ERROR (1)                    70.80       70.83        None      None      None      None
drivers64/usbcore.BUG.c           EXCEPTION                    30.89       30.91        None      None      None      None
drivers64/usbmouse.BUG.c          false(reach)                 36.72       36.75        None   31.234s    0.044s      None
--------------------------------------------------------------------------------------------------------------------------
Run set 1                         done                       3460.24     3482.23           -


